year,index,index_forecast
1978,.5081106068246763,.5081106068246763
1979,.5265380736258195,.5265380736258195
1980,.5477601277525633,.5477601277525633
1981,.5832913094637753,.5832913094637753
1982,.6162884518406455,.6162884518406455
1983,.6344763825853085,.6344763825853085
1984,.6530089090603464,.6530089090603464
1985,.6754496554042698,.6754496554042698
1986,.6805345436207765,.6805345436207765
1987,.6902840813582113,.6902840813582113
1988,.7032694570516052,.7032694570516052
1989,.7254580601781812,.7254580601781812
1990,.7645822827365943,.7645822827365943
1991,.8095478231635568,.8095478231635568
1992,.8421583459404943,.8421583459404943
1993,.869852075979156,.869852075979156
1994,.8773323247604639,.8773323247604639
1995,.8930912758446797,.8930912758446797
1996,.9003614052781982,.9003614052781982
1997,.9050260547991257,.9050260547991257
1998,.9051941502773575,.9051941502773575
1999,.9124222558413179,.9124222558413179
2000,.9267103714910069,.9267103714910069
2001,.9358715750546311,.9358715750546311
2002,.9418389645318541,.9418389645318541
2003,.9478904017481929,.9478904017481929
2004,.9554546982686164,.9554546982686164
2005,.9666750714405782,.9666750714405782
2006,.97688687174315,.97688687174315
2007,.9840729534375526,.9840729534375526
2008,1.007942511346445,1.007942511346445
2009,1.003109766347285,1.003109766347285
2010,1.01004370482434,1.01004370482434
2011,1.012312993780467,1.012312993780467
2012,1.005295007564296,1.005295007564296
2013,1.003109766347285,1.003109766347285
2014,1.003025718608169,1.003025718608169
2015,.9914691544797446,.9914691544797446
2016,.9871827197848377,.9871827197848377
2017,.9924777273491342,.9924777273491342
2018,1.001765002521432,1.001765002521432
2019,1.005379055303412,1.005379055303412
2020,.9981929736090099,.9981929736090099
2021,1.003866195999328,1.003866195999328
2022,1.03235837955959,1.03235837955959
2023,1.054378887207934,1.054378887207934
2024,1.062027231467473,1.062027231467473
2025,,1.069675575727013
2026,,1.077323919986553
2027,,1.08497226424609
2028,,1.09262060850563
2029,,1.10026895276517
2030,,1.107917297024708
2031,,1.115565641284247
2032,,1.123213985543787
2033,,1.130862329803326
2034,,1.138510674062866
2035,,1.146159018322404
2036,,1.153807362581944
2037,,1.161455706841483
2038,,1.169104051101021
2039,,1.176752395360561
2040,,1.1844007396201
2041,,1.19204908387964
2042,,1.19969742813918
2043,,1.207345772398718
2044,,1.214994116658257
2045,,1.222642460917797
2046,,1.230290805177335
2047,,1.237939149436874
2048,,1.245587493696414
2049,,1.253235837955954
2050,,1.260884182215493
2051,,1.268532526475031
2052,,1.276180870734571
2053,,1.28382921499411
2054,,1.291477559253648
2055,,1.299125903513188
2056,,1.306774247772728
2057,,1.314422592032267
2058,,1.322070936291807
2059,,1.329719280551345
2060,,1.337367624810884
2061,,1.345015969070424
2062,,1.352664313329962
2063,,1.360312657589501
2064,,1.367961001849041
2065,,1.375609346108581
2066,,1.38325769036812
2067,,1.390906034627658
2068,,1.398554378887198
2069,,1.406202723146738
2070,,1.413851067406275
2071,,1.421499411665815
2072,,1.429147755925355
